panel,cp,N,df,obs_LR,p_chi2,p_boot,boot_LR_median,boot_LR_p95,boot_LR_max,n_boot_valid,pass_chi2,pass_boot
14v,2015-12-16,14,315,1522.2790961297842,0.0,0.001996007984031936,650.9763475126344,808.0892753173691,962.0871542880932,500,True,True
14v,2017-06-14,14,315,1441.8325465405733,0.0,0.001996007984031936,617.1909184224828,731.7468290960023,834.0195531961826,500,True,True
14v,2017-09-20,14,315,1389.0628078452787,0.0,0.001996007984031936,632.0317257195973,759.7002545696491,835.8515640053733,500,True,True
14v,2019-01-30,14,315,2084.15743722899,0.0,0.001996007984031936,670.1495644348508,831.7065567068997,924.4271403578991,500,True,True
14v,2019-06-19,14,315,1516.900324321682,0.0,0.001996007984031936,658.85557661335,784.2121898393418,956.6708797854449,500,True,True
14v,2019-07-31,14,315,2504.480224844827,0.0,0.001996007984031936,652.3435745842353,789.8044852114892,866.1542642528843,500,True,True
14v,2020-03-15,14,315,2458.9575535242793,0.0,0.001996007984031936,700.5809342148879,859.2876816350329,962.4568066411944,500,True,True
14v,2020-09-16,14,315,1222.2839625929164,0.0,0.001996007984031936,602.6478482009907,706.4121745006996,791.719474175974,500,True,True
14v,2020-12-16,14,315,1748.0102420684134,0.0,0.001996007984031936,649.6874041802407,801.5364199095259,945.6738253538906,500,True,True
14v,2021-09-22,14,315,2082.496698670707,0.0,0.001996007984031936,619.1844972786585,746.2407508088755,885.5672457813639,500,True,True
14v,2021-11-03,14,315,1861.0306842983778,0.0,0.001996007984031936,616.1663899986845,734.679672296526,907.7238775416126,500,True,True
14v,2021-12-15,14,315,2014.477002620883,0.0,0.001996007984031936,667.620215909601,834.3056685920648,962.9951901681675,500,True,True
14v,2022-01-26,14,315,2817.179027867943,0.0,0.001996007984031936,693.0840490365929,848.1481035661895,1001.9504675530188,500,True,True
14v,2022-03-16,14,315,2678.164682589966,0.0,0.001996007984031936,682.1254789673872,826.3937769319009,990.952432211217,500,True,True
14v,2024-09-18,14,315,2070.0788861459114,0.0,0.001996007984031936,612.2040366204242,787.7429054745919,942.737553164603,500,True,True
